"studyName","Name","Latitude (º)","Longitude (º)","Grid code","Notes"
"Sampling Grid",000.000,-68.96746,-73.56079,1,""
"Sampling Grid",000.200,-68.83033,-73.87995,1,""
"Sampling Grid",000.400,-68.69264,-74.19518,1,""
"Sampling Grid",000.600,-68.55442,-74.50655,1,""
"Sampling Grid",000.800,-68.41566,-74.81412,1,""
"Sampling Grid",000.100,-68.27638,-75.11795,1,""
"Sampling Grid",000.120,-68.1366,-75.4181,1,""
"Sampling Grid",000.140,-67.99632,-75.71462,1,""
"Sampling Grid",000.160,-67.85556,-76.00758,1,""
"Sampling Grid",000.180,-67.71432,-76.29703,1,""
"Sampling Grid",000.200,-67.57263,-76.58303,1,""
"Sampling Grid",000.220,-67.42147,-76.8656,1,""
"Sampling Grid",100.000,-68.37991,-71.70503,1,""
"Sampling Grid",100.200,-68.24631,-72.02746,1,""
"Sampling Grid",100.400,-68.11211,-72.34614,1,""
"Sampling Grid",100.600,-67.97735,-72.66112,1,
"Sampling Grid",100.800,-67.84202,-72.97245,1,
"Sampling Grid",100.100,-67.70613,-73.28018,1,
"Sampling Grid",100.120,-67.56972,-73.58438,1,
"Sampling Grid",100.140,-67.43277,-73.88508,1,
"Sampling Grid",100.160,-67.29531,-74.18235,1,
"Sampling Grid",100.180,-67.15734,-74.47622,1,
"Sampling Grid",100.200,-67.01889,-74.76676,1,
"Sampling Grid",100.220,-66.87474,-75.05398,1,
"Sampling Grid",200.000,-67.77199,-69.94445,1,
"Sampling Grid",200.200,-67.64183,-70.26883,1,
"Sampling Grid",200.400,-67.51106,-70.58963,1,
"Sampling Grid",200.600,-67.37969,-70.9069,1,
"Sampling Grid",200.800,-67.24772,-71.22069,1,
"Sampling Grid",200.100,-67.11518,-71.53105,1,
"Sampling Grid",200.120,-66.98207,-71.83802,1,
"Sampling Grid",200.140,-66.84841,-72.14165,1,
"Sampling Grid",200.160,-66.7142,-72.44197,1,
"Sampling Grid",200.180,-66.57947,-72.73904,1,
"Sampling Grid",200.200,-66.44421,-73.0329,1,
"Sampling Grid",220.220,-66.3056,-73.32358,1,
"Sampling Grid",300.000,-67.14538,-68.27433,1,
"Sampling Grid",300.200,-67.01858,-68.5995,1,
"Sampling Grid",300.400,-66.89115,-68.92127,1,
"Sampling Grid",300.600,-66.76309,-69.2397,1,
"Sampling Grid",300.800,-66.63442,-69.55482,1,
"Sampling Grid",300.100,-66.50514,-69.86668,1,
"Sampling Grid",300.120,-66.37528,-70.1753,1,
"Sampling Grid",300.140,-66.24483,-70.48074,1,
"Sampling Grid",300.160,-66.11382,-70.78303,1,
"Sampling Grid",300.180,-65.98225,-71.0822,1,
"Sampling Grid",300.200,-65.85014,-71.3783,1,
"Sampling Grid",300.220,-65.71606,-71.67136,1,
"Sampling Grid",400.000,-66.50167,-66.68984,1,
"Sampling Grid",400.200,-66.37814,-67.0148,1,
"Sampling Grid",400.400,-66.25395,-67.33657,1,
"Sampling Grid",400.600,-66.12911,-67.65517,1,
"Sampling Grid",400.800,-66.00364,-67.97065,1,
"Sampling Grid",400.100,-65.87755,-68.28302,1,
"Sampling Grid",400.120,-65.75085,-68.59233,1,
"Sampling Grid",400.140,-65.62354,-68.89861,1,
"Sampling Grid",400.160,-65.49565,-69.2019,1,
"Sampling Grid",400.180,-65.36718,-69.50222,1,
"Sampling Grid",400.200,-65.23815,-69.79961,1,
"Sampling Grid",400.220,-65.1079,-70.0941,1,
"Sampling Grid",500.000,-65.84233,-65.18612,1,
"Sampling Grid",500.200,-65.72195,-65.51006,1,
"Sampling Grid",500.400,-65.60089,-65.83098,1,
"Sampling Grid",500.600,-65.47918,-66.14892,1,
"Sampling Grid",500.800,-65.35682,-66.46391,1,
"Sampling Grid",500.100,-65.23382,-66.77597,1,
"Sampling Grid",500.120,-65.11018,-67.08512,1,
"Sampling Grid",500.140,-64.98594,-67.39141,1,
"Sampling Grid",500.160,-64.86108,-67.69486,1,
"Sampling Grid",500.180,-64.73563,-67.99549,1,
"Sampling Grid",500.200,-64.6096,-68.29334,1,
"Sampling Grid",500.220,-64.48273,-68.58843,1,
"Sampling Grid",600.000,-65.16869,-63.75841,1,
"Sampling Grid",600.200,-65.05136,-64.08062,1,
"Sampling Grid",600.400,-64.93333,-64.4,1,
"Sampling Grid",600.600,-64.81464,-64.71657,1,
"Sampling Grid",600.800,-64.69528,-65.03036,1,
"Sampling Grid",600.100,-64.57527,-65.34139,1,
"Sampling Grid",600.120,-64.45461,-65.64968,1,
"Sampling Grid",600.140,-64.33333,-65.95526,1,
"Sampling Grid",600.160,-64.21142,-66.25815,1,
"Sampling Grid",600.180,-64.0889,-66.55838,1,
"Sampling Grid",600.200,-63.96578,-66.85597,1,
"Sampling Grid",600.220,-63.842,-67.15094,1,
"Sampling Grid",700.000,-64.48202,-62.40207,1,
"Sampling Grid",700.200,-64.36761,-62.72197,1,
"Sampling Grid",700.400,-64.25251,-63.03922,1,
"Sampling Grid",700.600,-64.13672,-63.35383,1,
"Sampling Grid",700.800,-64.02026,-63.66582,1,
"Sampling Grid",700.100,-63.90313,-63.97522,1,
"Sampling Grid",700.120,-63.78535,-64.28203,1,
"Sampling Grid",700.140,-63.66693,-64.5863,1,
"Sampling Grid",700.160,-63.54787,-64.88802,1,
"Sampling Grid",700.180,-63.4282,-65.18723,1,
"Sampling Grid",700.200,-63.3079,-65.48395,1,
"Sampling Grid",700.220,-63.18699,-65.77819,1,
"Sampling Grid",800.000,-63.78346,-61.11261,1,
"Sampling Grid",800.200,-63.67186,-61.42973,1,
"Sampling Grid",800.400,-63.55956,-61.74436,1,
"Sampling Grid",800.600,-63.44657,-62.05652,1,
"Sampling Grid",800.800,-63.33289,-62.36622,1,
"Sampling Grid",800.100,-63.21855,-62.67348,1,
"Sampling Grid",800.120,-63.10354,-62.97832,1,
"Sampling Grid",800.140,-62.98788,-63.28075,1,
"Sampling Grid",800.160,-62.87157,-63.58079,1,
"Sampling Grid",800.180,-62.75464,-63.87846,1,
"Sampling Grid",800.200,-62.63708,-64.17378,1,
"Sampling Grid",800.220,-62.51891,-64.46675,1,
"Sampling Grid",900.000,-63.07408,-59.88577,1,
"Sampling Grid",900.200,-62.96517,-60.19971,1,
"Sampling Grid",900.400,-62.85555,-60.51133,1,
"Sampling Grid",900.600,-62.74524,-60.82063,1,
"Sampling Grid",900.800,-62.63425,-61.12763,1,
"Sampling Grid",900.100,-62.52257,-61.43234,1,
"Sampling Grid",900.120,-62.41023,-61.73478,1,
"Sampling Grid",900.140,-62.29722,-62.03495,1,
"Sampling Grid",900.160,-62.18357,-62.33288,1,
"Sampling Grid",900.180,-62.06928,-62.62857,1,
"Sampling Grid",900.200,-61.95436,-62.92204,1,
"Sampling Grid",900.220,-61.83881,-63.21331,1,
"Sampling Grid",000.000,-68.96746,-73.56079,2,
"Sampling Grid",000.500,-68.93323,-73.64095,2,
"Sampling Grid",000.100,-68.89896,-73.72087,2,
"Sampling Grid",000.150,-68.86466,-73.80053,2,
"Sampling Grid",000.200,-68.83033,-73.87995,2,
"Sampling Grid",000.250,-68.79596,-73.95912,2,
"Sampling Grid",000.300,-68.76155,-74.03805,2,
"Sampling Grid",000.350,-68.72712,-74.11674,2,
"Sampling Grid",000.400,-68.69264,-74.19518,2,
"Sampling Grid",000.450,-68.65814,-74.27338,2,
"Sampling Grid",000.500,-68.6236,-74.35135,2,
"Sampling Grid",000.550,-68.58902,-74.42907,2,
"Sampling Grid",000.600,-68.55442,-74.50655,2,
"Sampling Grid",000.650,-68.51978,-74.5838,2,
"Sampling Grid",000.700,-68.4851,-74.66081,2,
"Sampling Grid",000.750,-68.4504,-74.73758,2,
"Sampling Grid",000.800,-68.41566,-74.81412,2,
"Sampling Grid",000.850,-68.38089,-74.89043,2,
"Sampling Grid",000.900,-68.34608,-74.9665,2,
"Sampling Grid",000.950,-68.31125,-75.04234,2,
"Sampling Grid",000.100,-68.27638,-75.11795,2,
"Sampling Grid",000.105,-68.24148,-75.19333,2,
"Sampling Grid",000.110,-68.20655,-75.26848,2,
"Sampling Grid",000.115,-68.17159,-75.34341,2,
"Sampling Grid",000.120,-68.1366,-75.4181,2,
"Sampling Grid",000.125,-68.10157,-75.49257,2,
"Sampling Grid",000.130,-68.06652,-75.56681,2,
"Sampling Grid",000.135,-68.03143,-75.64083,2,
"Sampling Grid",000.140,-67.99632,-75.71462,2,
"Sampling Grid",000.145,-67.96117,-75.7882,2,
"Sampling Grid",000.150,-67.926,-75.86155,2,
"Sampling Grid",000.155,-67.89079,-75.93467,2,
"Sampling Grid",000.160,-67.85556,-76.00758,2,
"Sampling Grid",000.165,-67.82029,-76.08027,2,
"Sampling Grid",000.170,-67.785,-76.15274,2,
"Sampling Grid",000.175,-67.74967,-76.225,2,
"Sampling Grid",000.180,-67.71432,-76.29703,2,
"Sampling Grid",000.185,-67.67894,-76.36885,2,
"Sampling Grid",000.190,-67.64353,-76.44046,2,
"Sampling Grid",000.195,-67.60809,-76.51185,2,
"Sampling Grid",000.200,-67.57263,-76.58303,2,
"Sampling Grid",005.000,-68.93859,-73.46567,2,
"Sampling Grid",005.500,-68.90441,-73.54588,2,
"Sampling Grid",005.100,-68.87019,-73.62584,2,
"Sampling Grid",005.150,-68.83593,-73.70556,2,
"Sampling Grid",005.200,-68.80164,-73.78503,2,
